date,entry,gap,bias,confidence,regime,strategy,pnl,capital
2024-12-19,23951.69921875,0,NEUTRAL,10.0,0,IRON CONDOR,-10300.0,-1243190.0
2024-12-20,23587.5,0,NEUTRAL,5.0,0,IRON CONDOR,2300.0,-1240890.0
2024-12-23,23753.44921875,0,NEUTRAL,5.0,0,IRON CONDOR,5510.0,-1235380.0
2024-12-24,23727.650390625,0,NEUTRAL,5.0,0,IRON CONDOR,5435.0,-1229945.0
2024-12-26,23750.19921875,0,NEUTRAL,20.0,1,IRON CONDOR,-10165.0,-1240110.0
2024-12-27,23913.400390625,100,NEUTRAL,25.0,1,IRON CONDOR,-10030.000000000002,-1250140.0
2024-12-30,23794.900390625,150,NEUTRAL,2.0,1,IRON CONDOR,-10165.0,-1260305.0
2024-12-31,23594.80078125,-50,NEUTRAL,20.0,1,IRON CONDOR,-10300.0,-1270605.0
2025-01-01,23742.900390625,0,NEUTRAL,10.0,1,IRON CONDOR,-10300.0,-1280905.0
2025-01-02,24188.650390625,0,NEUTRAL,10.0,0,IRON CONDOR,-10165.0,-1291070.0
2025-01-03,24004.75,0,NEUTRAL,5.0,0,IRON CONDOR,-10030.000000000002,-1301100.0
2025-01-06,23616.05078125,0,NEUTRAL,5.0,0,IRON CONDOR,-10705.000000000002,-1311805.0
2025-01-07,23707.900390625,0,NEUTRAL,25.0,0,IRON CONDOR,-10435.0,-1322240.0
2025-01-08,23688.94921875,0,NEUTRAL,10.0,0,IRON CONDOR,-10300.0,-1332540.0
2025-01-09,23576.5,50,NEUTRAL,20.0,0,IRON CONDOR,-10435.0,-1342975.0
2025-01-10,23431.5,0,BEARISH,35.0,0,BEAR CALL SPREAD,2270.0,-1340705.0
2025-01-13,23085.94921875,0,NEUTRAL,20.0,0,IRON CONDOR,2360.0,-1338345.0
2025-01-14,23176.05078125,0,NEUTRAL,20.0,0,IRON CONDOR,5885.0,-1332460.0
2025-01-15,23213.19921875,0,NEUTRAL,5.0,0,IRON CONDOR,2300.0,-1330160.0
2025-01-16,23311.80078125,0,NEUTRAL,20.0,0,IRON CONDOR,5885.0,-1324275.0
2025-01-17,23203.19921875,0,NEUTRAL,5.0,0,IRON CONDOR,2330.0,-1321945.0
2025-01-20,23494.75,150,NEUTRAL,23.0,0,IRON CONDOR,-10975.0,-1332920.0
2025-01-21,23024.650390625,0,NEUTRAL,5.0,0,IRON CONDOR,2420.0000000000005,-1330500.0
2025-01-22,23155.349609375,0,NEUTRAL,5.0,0,IRON CONDOR,6035.0,-1324465.0
2025-01-23,23355.349609375,150,BULLISH,38.0,0,BULL PUT SPREAD,-10975.0,-1335440.0
2025-01-24,23092.19921875,0,NEUTRAL,20.0,0,IRON CONDOR,-10975.0,-1346415.0
2025-01-27,22829.150390625,0,BEARISH,35.0,0,BEAR CALL SPREAD,-11380.000000000002,-1357795.0
2025-01-28,22957.25,0,NEUTRAL,5.0,0,IRON CONDOR,-11515.0,-1369310.0
2025-01-29,23163.099609375,0,NEUTRAL,10.0,0,IRON CONDOR,-11650.0,-1380960.0
2025-01-30,23249.5,0,NEUTRAL,25.0,0,IRON CONDOR,-11245.0,-1392205.0
2025-01-31,23508.400390625,0,NEUTRAL,5.0,0,IRON CONDOR,2360.0,-1389845.0
2025-02-01,23482.150390625,0,NEUTRAL,10.0,0,IRON CONDOR,2360.0,-1387485.0
2025-02-03,23361.05078125,0,NEUTRAL,5.0,0,IRON CONDOR,-10300.0,-1397785.0
